Itemset
Cola
Bread
Milk
Egg
Sauce
Pickle
Jam
Diaper
"Cola, Bread"
"Cola, Milk"
"Cola, Egg"
"Cola, Sauce"
"Cola, Pickle"
"Cola, Jam"
"Cola, Diaper"
"Bread, Milk"
"Bread, Egg"
"Bread, Sauce"
"Bread, Pickle"
"Bread, Jam"
"Bread, Diaper"
"Milk, Egg"
"Milk, Sauce"
"Milk, Pickle"
"Milk, Jam"
"Milk, Diaper"
"Egg, Sauce"
"Egg, Pickle"
"Egg, Jam"
"Egg, Diaper"
"Sauce, Pickle"
"Sauce, Jam"
"Sauce, Diaper"
"Pickle, Jam"
"Pickle, Diaper"
"Jam, Diaper"
"Cola, Bread, Milk"
"Cola, Bread, Egg"
"Cola, Bread, Sauce"
"Cola, Bread, Pickle"
"Cola, Bread, Jam"
"Cola, Bread, Diaper"
"Cola, Milk, Egg"
"Cola, Milk, Sauce"
"Cola, Milk, Pickle"
"Cola, Milk, Jam"
"Cola, Milk, Diaper"
"Cola, Egg, Sauce"
"Cola, Egg, Pickle"
"Cola, Egg, Jam"
"Cola, Egg, Diaper"
"Cola, Sauce, Pickle"
"Cola, Sauce, Jam"
"Cola, Sauce, Diaper"
"Cola, Pickle, Jam"
"Cola, Pickle, Diaper"
"Cola, Jam, Diaper"
"Bread, Milk, Egg"
"Bread, Milk, Sauce"
"Bread, Milk, Pickle"
"Bread, Milk, Jam"
"Bread, Milk, Diaper"
"Bread, Egg, Sauce"
"Bread, Egg, Pickle"
"Bread, Egg, Jam"
"Bread, Egg, Diaper"
"Bread, Sauce, Pickle"
"Bread, Sauce, Jam"
"Bread, Sauce, Diaper"
"Bread, Pickle, Jam"
"Bread, Pickle, Diaper"
"Bread, Jam, Diaper"
"Milk, Egg, Sauce"
"Milk, Egg, Pickle"
"Milk, Egg, Jam"
"Milk, Egg, Diaper"
"Milk, Sauce, Pickle"
"Milk, Sauce, Jam"
"Milk, Sauce, Diaper"
"Milk, Pickle, Jam"
"Milk, Pickle, Diaper"
"Milk, Jam, Diaper"
"Egg, Sauce, Pickle"
"Egg, Sauce, Jam"
"Egg, Sauce, Diaper"
"Egg, Pickle, Jam"
"Egg, Pickle, Diaper"
"Egg, Jam, Diaper"
"Sauce, Pickle, Jam"
"Sauce, Pickle, Diaper"
"Sauce, Jam, Diaper"
"Pickle, Jam, Diaper"
"Milk, Sauce, Pickle, Jam"
"Milk, Sauce, Pickle, Diaper"
"Milk, Sauce, Jam, Diaper"
"Milk, Pickle, Jam, Diaper"
"Egg, Sauce, Pickle, Jam"
"Egg, Sauce, Pickle, Diaper"
"Egg, Sauce, Jam, Diaper"
"Egg, Pickle, Jam, Diaper"
"Sauce, Pickle, Jam, Diaper"
"Cola, Bread, Milk, Egg, Sauce"
"Cola, Bread, Milk, Egg, Pickle"
"Cola, Bread, Milk, Egg, Jam"
"Cola, Bread, Milk, Egg, Diaper"
"Cola, Bread, Milk, Sauce, Pickle"
"Cola, Bread, Milk, Sauce, Jam"
"Cola, Bread, Milk, Sauce, Diaper"
"Cola, Bread, Milk, Pickle, Jam"
"Cola, Bread, Milk, Pickle, Diaper"
"Cola, Bread, Milk, Jam, Diaper"
"Cola, Bread, Egg, Sauce, Pickle"
"Cola, Bread, Egg, Sauce, Jam"
"Cola, Bread, Egg, Sauce, Diaper"
"Cola, Bread, Egg, Pickle, Jam"
"Cola, Bread, Egg, Pickle, Diaper"
"Cola, Bread, Egg, Jam, Diaper"
"Cola, Bread, Sauce, Pickle, Jam"
"Cola, Bread, Sauce, Pickle, Diaper"
"Cola, Bread, Sauce, Jam, Diaper"
"Cola, Bread, Pickle, Jam, Diaper"
"Cola, Milk, Egg, Sauce, Pickle"
"Cola, Milk, Egg, Sauce, Jam"
"Cola, Milk, Egg, Sauce, Diaper"
"Cola, Milk, Egg, Pickle, Jam"
"Cola, Milk, Egg, Pickle, Diaper"
"Cola, Milk, Egg, Jam, Diaper"
"Cola, Milk, Sauce, Pickle, Jam"
"Cola, Milk, Sauce, Pickle, Diaper"
"Cola, Milk, Sauce, Jam, Diaper"
"Cola, Milk, Pickle, Jam, Diaper"
"Cola, Egg, Sauce, Pickle, Jam"
"Cola, Egg, Sauce, Pickle, Diaper"
"Cola, Egg, Sauce, Jam, Diaper"
"Cola, Egg, Pickle, Jam, Diaper"
"Cola, Sauce, Pickle, Jam, Diaper"
"Bread, Milk, Egg, Sauce, Pickle"
"Bread, Milk, Egg, Sauce, Jam"
"Bread, Milk, Egg, Sauce, Diaper"
"Bread, Milk, Egg, Pickle, Jam"
"Bread, Milk, Egg, Pickle, Diaper"
"Bread, Milk, Egg, Jam, Diaper"
"Bread, Milk, Sauce, Pickle, Jam"
"Bread, Milk, Sauce, Pickle, Diaper"
"Bread, Milk, Sauce, Jam, Diaper"
"Bread, Milk, Pickle, Jam, Diaper"
"Bread, Egg, Sauce, Pickle, Jam"
"Bread, Egg, Sauce, Pickle, Diaper"
"Bread, Egg, Sauce, Jam, Diaper"
"Bread, Egg, Pickle, Jam, Diaper"
"Bread, Sauce, Pickle, Jam, Diaper"
"Milk, Egg, Sauce, Pickle, Jam"
"Milk, Egg, Sauce, Pickle, Diaper"
"Milk, Egg, Sauce, Jam, Diaper"
"Milk, Egg, Pickle, Jam, Diaper"
"Milk, Sauce, Pickle, Jam, Diaper"
"Egg, Sauce, Pickle, Jam, Diaper"
"Cola, Bread, Milk, Egg, Sauce, Pickle"
"Cola, Bread, Milk, Egg, Sauce, Jam"
"Cola, Bread, Milk, Egg, Sauce, Diaper"
"Cola, Bread, Milk, Egg, Pickle, Jam"
"Cola, Bread, Milk, Egg, Pickle, Diaper"
"Cola, Bread, Milk, Egg, Jam, Diaper"
"Cola, Bread, Milk, Sauce, Pickle, Jam"
"Cola, Bread, Milk, Sauce, Pickle, Diaper"
"Cola, Bread, Milk, Sauce, Jam, Diaper"
"Cola, Bread, Milk, Pickle, Jam, Diaper"
"Cola, Bread, Egg, Sauce, Pickle, Jam"
"Cola, Bread, Egg, Sauce, Pickle, Diaper"
"Cola, Bread, Egg, Sauce, Jam, Diaper"
"Cola, Bread, Egg, Pickle, Jam, Diaper"
"Cola, Bread, Sauce, Pickle, Jam, Diaper"
"Cola, Milk, Egg, Sauce, Pickle, Jam"
"Cola, Milk, Egg, Sauce, Pickle, Diaper"
"Cola, Milk, Egg, Sauce, Jam, Diaper"
"Cola, Milk, Egg, Pickle, Jam, Diaper"
"Cola, Milk, Sauce, Pickle, Jam, Diaper"
"Cola, Egg, Sauce, Pickle, Jam, Diaper"
"Bread, Milk, Egg, Sauce, Pickle, Jam"
"Bread, Milk, Egg, Sauce, Pickle, Diaper"
"Bread, Milk, Egg, Sauce, Jam, Diaper"
"Bread, Milk, Egg, Pickle, Jam, Diaper"
"Bread, Milk, Sauce, Pickle, Jam, Diaper"
"Bread, Egg, Sauce, Pickle, Jam, Diaper"
"Milk, Egg, Sauce, Pickle, Jam, Diaper"
"Cola, Bread, Milk, Egg, Sauce, Pickle, Jam"
"Cola, Bread, Milk, Egg, Sauce, Pickle, Diaper"
"Cola, Bread, Milk, Egg, Sauce, Jam, Diaper"
"Cola, Bread, Milk, Egg, Pickle, Jam, Diaper"
"Cola, Bread, Milk, Sauce, Pickle, Jam, Diaper"
"Cola, Bread, Egg, Sauce, Pickle, Jam, Diaper"
"Cola, Milk, Egg, Sauce, Pickle, Jam, Diaper"
"Bread, Milk, Egg, Sauce, Pickle, Jam, Diaper"
"Cola, Bread, Milk, Egg, Sauce, Pickle, Jam, Diaper"
