Itemset
Sauce
Egg
Cola
Bread
Jam
Diaper
Milk
Pickle
"Sauce, Egg"
"Sauce, Cola"
"Sauce, Bread"
"Sauce, Jam"
"Sauce, Diaper"
"Sauce, Milk"
"Sauce, Pickle"
"Egg, Cola"
"Egg, Bread"
"Egg, Jam"
"Egg, Diaper"
"Egg, Milk"
"Egg, Pickle"
"Cola, Bread"
"Cola, Jam"
"Cola, Diaper"
"Cola, Milk"
"Cola, Pickle"
"Bread, Jam"
"Bread, Diaper"
"Bread, Milk"
"Bread, Pickle"
"Jam, Diaper"
"Jam, Milk"
"Jam, Pickle"
"Diaper, Milk"
"Diaper, Pickle"
"Milk, Pickle"
"Sauce, Egg, Cola"
"Sauce, Egg, Bread"
"Sauce, Egg, Jam"
"Sauce, Egg, Diaper"
"Sauce, Egg, Milk"
"Sauce, Egg, Pickle"
"Sauce, Cola, Bread"
"Sauce, Cola, Jam"
"Sauce, Cola, Diaper"
"Sauce, Cola, Milk"
"Sauce, Cola, Pickle"
"Sauce, Bread, Jam"
"Sauce, Bread, Diaper"
"Sauce, Bread, Milk"
"Sauce, Bread, Pickle"
"Sauce, Jam, Diaper"
"Sauce, Jam, Milk"
"Sauce, Jam, Pickle"
"Sauce, Diaper, Milk"
"Sauce, Diaper, Pickle"
"Sauce, Milk, Pickle"
"Egg, Cola, Bread"
"Egg, Cola, Jam"
"Egg, Cola, Diaper"
"Egg, Cola, Milk"
"Egg, Cola, Pickle"
"Egg, Bread, Jam"
"Egg, Bread, Diaper"
"Egg, Bread, Milk"
"Egg, Bread, Pickle"
"Egg, Jam, Diaper"
"Egg, Jam, Milk"
"Egg, Jam, Pickle"
"Egg, Diaper, Milk"
"Egg, Diaper, Pickle"
"Egg, Milk, Pickle"
"Cola, Bread, Jam"
"Cola, Bread, Diaper"
"Cola, Bread, Milk"
"Cola, Bread, Pickle"
"Cola, Jam, Diaper"
"Cola, Jam, Milk"
"Cola, Jam, Pickle"
"Cola, Diaper, Milk"
"Cola, Diaper, Pickle"
"Cola, Milk, Pickle"
"Bread, Jam, Diaper"
"Bread, Jam, Milk"
"Bread, Jam, Pickle"
"Bread, Diaper, Milk"
"Bread, Diaper, Pickle"
"Bread, Milk, Pickle"
"Jam, Diaper, Milk"
"Jam, Diaper, Pickle"
"Jam, Milk, Pickle"
"Diaper, Milk, Pickle"
"Sauce, Egg, Cola, Bread, Diaper"
"Sauce, Egg, Cola, Bread, Milk"
"Sauce, Egg, Cola, Bread, Pickle"
"Sauce, Egg, Cola, Jam, Diaper"
"Sauce, Egg, Cola, Jam, Milk"
"Sauce, Egg, Cola, Jam, Pickle"
"Sauce, Egg, Cola, Diaper, Milk"
"Sauce, Egg, Cola, Diaper, Pickle"
"Sauce, Egg, Cola, Milk, Pickle"
"Sauce, Egg, Bread, Jam, Diaper"
"Sauce, Egg, Bread, Jam, Milk"
"Sauce, Egg, Bread, Jam, Pickle"
"Sauce, Egg, Bread, Diaper, Milk"
"Sauce, Egg, Bread, Diaper, Pickle"
"Sauce, Egg, Bread, Milk, Pickle"
"Sauce, Egg, Jam, Diaper, Milk"
"Sauce, Egg, Jam, Diaper, Pickle"
"Sauce, Egg, Jam, Milk, Pickle"
"Sauce, Egg, Diaper, Milk, Pickle"
"Sauce, Cola, Bread, Jam, Diaper"
"Sauce, Cola, Bread, Jam, Milk"
"Sauce, Cola, Bread, Jam, Pickle"
"Sauce, Cola, Bread, Diaper, Milk"
"Sauce, Cola, Bread, Diaper, Pickle"
"Sauce, Cola, Bread, Milk, Pickle"
"Sauce, Cola, Jam, Diaper, Milk"
"Sauce, Cola, Jam, Diaper, Pickle"
"Sauce, Cola, Jam, Milk, Pickle"
"Sauce, Cola, Diaper, Milk, Pickle"
"Sauce, Bread, Jam, Diaper, Milk"
"Sauce, Bread, Jam, Diaper, Pickle"
"Sauce, Bread, Jam, Milk, Pickle"
"Sauce, Bread, Diaper, Milk, Pickle"
"Sauce, Jam, Diaper, Milk, Pickle"
"Egg, Cola, Bread, Jam, Diaper"
"Egg, Cola, Bread, Jam, Milk"
"Egg, Cola, Bread, Jam, Pickle"
"Egg, Cola, Bread, Diaper, Milk"
"Egg, Cola, Bread, Diaper, Pickle"
"Egg, Cola, Bread, Milk, Pickle"
"Egg, Cola, Jam, Diaper, Milk"
"Egg, Cola, Jam, Diaper, Pickle"
"Egg, Cola, Jam, Milk, Pickle"
"Egg, Cola, Diaper, Milk, Pickle"
"Egg, Bread, Jam, Diaper, Milk"
"Egg, Bread, Jam, Diaper, Pickle"
"Egg, Bread, Jam, Milk, Pickle"
"Egg, Bread, Diaper, Milk, Pickle"
"Egg, Jam, Diaper, Milk, Pickle"
"Cola, Bread, Jam, Diaper, Milk"
"Cola, Bread, Jam, Diaper, Pickle"
"Cola, Bread, Jam, Milk, Pickle"
"Cola, Bread, Diaper, Milk, Pickle"
"Cola, Jam, Diaper, Milk, Pickle"
"Bread, Jam, Diaper, Milk, Pickle"
"Sauce, Egg, Cola, Bread, Jam, Diaper"
"Sauce, Egg, Cola, Bread, Jam, Milk"
"Sauce, Egg, Cola, Bread, Jam, Pickle"
"Sauce, Egg, Cola, Bread, Diaper, Milk"
"Sauce, Egg, Cola, Bread, Diaper, Pickle"
"Sauce, Egg, Cola, Bread, Milk, Pickle"
"Sauce, Egg, Cola, Jam, Diaper, Milk"
"Sauce, Egg, Cola, Jam, Diaper, Pickle"
"Sauce, Egg, Cola, Jam, Milk, Pickle"
"Sauce, Egg, Cola, Diaper, Milk, Pickle"
"Sauce, Egg, Bread, Jam, Diaper, Milk"
"Sauce, Egg, Bread, Jam, Diaper, Pickle"
"Sauce, Egg, Bread, Jam, Milk, Pickle"
"Sauce, Egg, Bread, Diaper, Milk, Pickle"
"Sauce, Egg, Jam, Diaper, Milk, Pickle"
"Sauce, Cola, Bread, Jam, Diaper, Milk"
"Sauce, Cola, Bread, Jam, Diaper, Pickle"
"Sauce, Cola, Bread, Jam, Milk, Pickle"
"Sauce, Cola, Bread, Diaper, Milk, Pickle"
"Sauce, Cola, Jam, Diaper, Milk, Pickle"
"Sauce, Bread, Jam, Diaper, Milk, Pickle"
"Egg, Cola, Bread, Jam, Diaper, Milk"
"Egg, Cola, Bread, Jam, Diaper, Pickle"
"Egg, Cola, Bread, Jam, Milk, Pickle"
"Egg, Cola, Bread, Diaper, Milk, Pickle"
"Egg, Cola, Jam, Diaper, Milk, Pickle"
"Egg, Bread, Jam, Diaper, Milk, Pickle"
"Cola, Bread, Jam, Diaper, Milk, Pickle"
"Sauce, Egg, Cola, Bread, Jam, Diaper, Milk"
"Sauce, Egg, Cola, Bread, Jam, Diaper, Pickle"
"Sauce, Egg, Cola, Bread, Jam, Milk, Pickle"
"Sauce, Egg, Cola, Bread, Diaper, Milk, Pickle"
"Sauce, Egg, Cola, Jam, Diaper, Milk, Pickle"
"Sauce, Egg, Bread, Jam, Diaper, Milk, Pickle"
"Sauce, Cola, Bread, Jam, Diaper, Milk, Pickle"
"Egg, Cola, Bread, Jam, Diaper, Milk, Pickle"
"Sauce, Egg, Cola, Bread, Jam, Diaper, Milk, Pickle"
